number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_threshold,state
0,0.44794911183842356,2025-12-16 23:50:16.369255,2025-12-16 23:50:30.767537,0 days 00:00:14.398282,4.473520470735443,3.7508714309786484,15.597678139493018,COMPLETE
1,0.451354499487501,2025-12-16 23:50:30.767775,2025-12-16 23:50:45.680462,0 days 00:00:14.912687,2.5767516326225097,8.139607775736463,13.70175079804643,COMPLETE
2,0.45344226374751706,2025-12-16 23:50:45.680711,2025-12-16 23:50:59.767151,0 days 00:00:14.086440,0.7992177148451205,9.973029690176059,14.464314932287701,COMPLETE
3,0.452330694399962,2025-12-16 23:50:59.767394,2025-12-16 23:51:14.801963,0 days 00:00:15.034569,5.220811135487078,2.5089867978900724,13.471928190531074,COMPLETE
4,0.4620720445292794,2025-12-16 23:51:14.802181,2025-12-16 23:51:33.286404,0 days 00:00:18.484223,1.0762991996622908,6.873216784411023,2.5233062482139275,COMPLETE
5,0.45390785799514055,2025-12-16 23:51:33.286645,2025-12-16 23:51:47.492035,0 days 00:00:14.205390,6.103984187022139,0.8757110637967136,14.063750827326537,COMPLETE
6,0.4493923125244944,2025-12-16 23:51:47.492248,2025-12-16 23:52:01.598560,0 days 00:00:14.106312,5.096565951051098,6.832264837532318,14.794648702967262,COMPLETE
7,0.4620452007677177,2025-12-16 23:52:01.598915,2025-12-16 23:52:20.356198,0 days 00:00:18.757283,4.953867920574977,4.946590343148563,2.4794770138882196,COMPLETE
8,0.4619078731712563,2025-12-16 23:52:20.356430,2025-12-16 23:52:39.020998,0 days 00:00:18.664568,6.611155014754991,5.203109918082561,2.6313447866955473,COMPLETE
9,0.45346895425008754,2025-12-16 23:52:39.021210,2025-12-16 23:52:52.612473,0 days 00:00:13.591263,4.459586801908347,0.6776217402529017,15.245332931749543,COMPLETE
10,0.4441542685416821,2025-12-16 23:52:52.612690,2025-12-16 23:53:06.166122,0 days 00:00:13.553432,7.637120350347898,3.3728661556600352,18.504708285286345,COMPLETE
11,0.44188326374515896,2025-12-16 23:53:06.166530,2025-12-16 23:53:19.266944,0 days 00:00:13.100414,7.920131813620696,3.715423935373825,19.926517743693356,COMPLETE
12,0.44318455980603544,2025-12-16 23:53:19.267159,2025-12-16 23:53:32.226347,0 days 00:00:12.959188,7.969671307337439,2.65295745096775,19.69050786970606,COMPLETE
