,number,value,datetime_start,datetime_complete,duration,params_alpha,params_threshold,state
0,0,0.7890732014973958,2025-12-08 17:33:06.238465,2025-12-08 17:33:07.763824,0 days 00:00:01.525359,0.8060795002465053,121.96006611012102,COMPLETE
1,1,0.7743627278645833,2025-12-08 17:33:07.764050,2025-12-08 17:33:09.136454,0 days 00:00:01.372404,0.452528419983675,89.81127740100634,COMPLETE
2,2,0.9325292480468749,2025-12-08 17:33:09.136658,2025-12-08 17:33:15.035411,0 days 00:00:05.898753,0.7482168055915326,20.124632881327162,COMPLETE
3,3,0.8639197916666667,2025-12-08 17:33:15.035610,2025-12-08 17:33:19.124736,0 days 00:00:04.089126,0.826740447312265,36.96359517580419,COMPLETE
4,4,0.8050443196614583,2025-12-08 17:33:19.124937,2025-12-08 17:33:20.460052,0 days 00:00:01.335115,0.06795124533043495,119.70533981571648,COMPLETE
5,5,0.7338407063802084,2025-12-08 17:33:20.460240,2025-12-08 17:33:22.568497,0 days 00:00:02.108257,0.5942717008645042,55.2163583707127,COMPLETE
6,6,0.7813617594401041,2025-12-08 17:33:22.568699,2025-12-08 17:33:24.185717,0 days 00:00:01.617018,0.05013586672455195,81.84856345310239,COMPLETE
7,7,0.7209868082682291,2025-12-08 17:33:24.185920,2025-12-08 17:33:26.443417,0 days 00:00:02.257497,0.2670528965900433,38.885367993226595,COMPLETE
8,8,0.8050443196614583,2025-12-08 17:33:26.443622,2025-12-08 17:33:27.935700,0 days 00:00:01.492078,0.26681941566150336,127.58885120589538,COMPLETE
9,9,0.8050443196614583,2025-12-08 17:33:27.935978,2025-12-08 17:33:29.422715,0 days 00:00:01.486737,0.35735429914694206,175.70881383912288,COMPLETE
10,10,0.8050443196614583,2025-12-08 17:33:29.422930,2025-12-08 17:33:30.865438,0 days 00:00:01.442508,0.9957083797013035,178.60095775500764,COMPLETE
11,11,0.7383758870442708,2025-12-08 17:33:30.865636,2025-12-08 17:33:33.181201,0 days 00:00:02.315565,0.5938770459431701,49.438508511822654,COMPLETE
12,12,0.7838913736979167,2025-12-08 17:33:33.181586,2025-12-08 17:33:34.892535,0 days 00:00:01.710949,0.5750508809217941,63.21035659087853,COMPLETE
13,13,0.7891592285156251,2025-12-08 17:33:34.892729,2025-12-08 17:33:38.299878,0 days 00:00:03.407149,0.24638846730686745,19.65067034261139,COMPLETE
14,14,0.7686340413411458,2025-12-08 17:33:38.300075,2025-12-08 17:33:39.862173,0 days 00:00:01.562098,0.20126175139212105,66.21672655899744,COMPLETE
15,15,0.9408250651041667,2025-12-08 17:33:39.862371,2025-12-08 17:33:46.030074,0 days 00:00:06.167703,0.4380908158639292,11.948110243707845,COMPLETE
16,16,0.7769963785807291,2025-12-08 17:33:46.030478,2025-12-08 17:33:48.875471,0 days 00:00:02.844993,0.6481729501164072,43.420467769491324,COMPLETE
17,17,0.8050443196614583,2025-12-08 17:33:48.875673,2025-12-08 17:33:50.332516,0 days 00:00:01.456843,0.3444485934852165,150.69278152263342,COMPLETE
18,18,0.8050443196614583,2025-12-08 17:33:50.332740,2025-12-08 17:33:51.787245,0 days 00:00:01.454505,0.13160619891817107,89.22435986296419,COMPLETE
19,19,0.7838164388020834,2025-12-08 17:33:51.787517,2025-12-08 17:33:53.523008,0 days 00:00:01.735491,0.6749142239487476,75.2026469731534,COMPLETE
20,20,0.7494319091796875,2025-12-08 17:33:53.523272,2025-12-08 17:33:56.259149,0 days 00:00:02.735877,0.5130810224868572,35.75148057240177,COMPLETE
21,21,0.7409134928385418,2025-12-08 17:33:56.259388,2025-12-08 17:33:58.530206,0 days 00:00:02.270818,0.5703255550317397,50.93537817136203,COMPLETE
22,22,0.7765808512369792,2025-12-08 17:33:58.530477,2025-12-08 17:34:00.197813,0 days 00:00:01.667336,0.3662391988640841,55.49333105734494,COMPLETE
23,23,0.7781995930989583,2025-12-08 17:34:00.198086,2025-12-08 17:34:01.782668,0 days 00:00:01.584582,0.6572846688810193,101.7368025111837,COMPLETE
24,24,0.7709416829427083,2025-12-08 17:34:01.782870,2025-12-08 17:34:04.700747,0 days 00:00:02.917877,0.5314785651238213,30.854970562517487,COMPLETE
25,25,0.764609326171875,2025-12-08 17:34:04.701070,2025-12-08 17:34:06.456162,0 days 00:00:01.755092,0.45062024341340035,56.38167481785684,COMPLETE
26,26,0.7887534423828124,2025-12-08 17:34:06.456388,2025-12-08 17:34:08.260727,0 days 00:00:01.804339,0.7097353458495602,71.53179867140935,COMPLETE
27,27,0.8050443196614583,2025-12-08 17:34:08.260931,2025-12-08 17:34:09.730654,0 days 00:00:01.469723,0.8924451018858972,199.67959252561855,COMPLETE
28,28,0.8044691080729166,2025-12-08 17:34:09.730895,2025-12-08 17:34:13.403805,0 days 00:00:03.672910,0.6072109352811257,27.42938146032332,COMPLETE
29,29,0.7974801839192708,2025-12-08 17:34:13.404004,2025-12-08 17:34:16.578596,0 days 00:00:03.174592,0.7682213718153178,46.04095227448795,COMPLETE
30,30,0.8050443196614583,2025-12-08 17:34:16.579009,2025-12-08 17:34:18.042417,0 days 00:00:01.463408,0.29266260419892537,110.61393297215051,COMPLETE
31,31,0.7358331787109375,2025-12-08 17:34:18.042619,2025-12-08 17:34:20.288101,0 days 00:00:02.245482,0.5520206799906305,50.74775392459431,COMPLETE
32,32,0.9923055826822916,2025-12-08 17:34:20.288355,2025-12-08 17:34:28.002427,0 days 00:00:07.714072,0.4622641070394928,10.011638844583054,COMPLETE
33,33,0.7757081949869792,2025-12-08 17:34:28.002665,2025-12-08 17:34:29.666228,0 days 00:00:01.663563,0.41693650604048527,60.65769031818223,COMPLETE
34,34,0.7403294026692708,2025-12-08 17:34:29.666440,2025-12-08 17:34:32.068662,0 days 00:00:02.402222,0.5431037356052862,44.38121700039004,COMPLETE
35,35,0.8007314615885416,2025-12-08 17:34:32.068979,2025-12-08 17:34:33.984674,0 days 00:00:01.915695,0.8464067875120844,86.0425982976833,COMPLETE
36,36,0.8207249837239582,2025-12-08 17:34:33.984928,2025-12-08 17:34:38.034893,0 days 00:00:04.049965,0.609796748263202,25.080054119340932,COMPLETE
37,37,0.7836015462239584,2025-12-08 17:34:38.035099,2025-12-08 17:34:39.703307,0 days 00:00:01.668208,0.7283955092782699,102.1692833784159,COMPLETE
38,38,0.7731783528645834,2025-12-08 17:34:39.703645,2025-12-08 17:34:41.372290,0 days 00:00:01.668645,0.47797009599935986,75.83750617208906,COMPLETE
39,39,0.7166008626302083,2025-12-08 17:34:41.372623,2025-12-08 17:34:43.486092,0 days 00:00:02.113469,0.1177734875265048,35.18242966778462,COMPLETE
40,40,0.7180031005859376,2025-12-08 17:34:43.486566,2025-12-08 17:34:45.451864,0 days 00:00:01.965298,0.009840416900788962,36.72904841881794,COMPLETE
41,41,0.7476670003255208,2025-12-08 17:34:45.452120,2025-12-08 17:34:47.355062,0 days 00:00:01.902942,0.0005971332332387631,37.763141177688944,COMPLETE
42,42,0.7939267252604166,2025-12-08 17:34:47.355306,2025-12-08 17:34:50.883963,0 days 00:00:03.528657,0.12022603294204734,17.147443844577236,COMPLETE
43,43,0.716492822265625,2025-12-08 17:34:50.884162,2025-12-08 17:34:52.977206,0 days 00:00:02.093044,0.15072413001889468,36.35017283200758,COMPLETE
44,44,0.7133048258463542,2025-12-08 17:34:52.977426,2025-12-08 17:34:55.269017,0 days 00:00:02.291591,0.1726857842688067,35.19584458406465,COMPLETE
45,45,0.71395693359375,2025-12-08 17:34:55.269288,2025-12-08 17:34:57.503221,0 days 00:00:02.233933,0.17007731679419075,35.47392580882786,COMPLETE
46,46,0.7358857340494792,2025-12-08 17:34:57.503500,2025-12-08 17:34:59.921523,0 days 00:00:02.418023,0.16784515347001516,30.723490962959808,COMPLETE
47,47,0.7427099609375,2025-12-08 17:34:59.921814,2025-12-08 17:35:02.814268,0 days 00:00:02.892454,0.07390891024492074,22.655539388982177,COMPLETE
48,48,0.8050443196614583,2025-12-08 17:35:02.814472,2025-12-08 17:35:04.239687,0 days 00:00:01.425215,0.023625194614112333,134.8252086584681,COMPLETE
49,49,0.7195183756510417,2025-12-08 17:35:04.239897,2025-12-08 17:35:06.397934,0 days 00:00:02.158037,0.21161940120589282,36.50515861122794,COMPLETE
