,number,value,datetime_start,datetime_complete,duration,params_alpha,params_threshold,state
0,0,0.794604970296224,2025-12-10 09:47:40.050075,2025-12-10 09:47:52.420720,0 days 00:00:12.370645,0.39296920847527883,65.04287934509699,COMPLETE
1,1,0.7821004638671875,2025-12-10 09:47:52.420947,2025-12-10 09:48:05.273281,0 days 00:00:12.852334,0.04039634813131643,49.06802335249031,COMPLETE
2,2,0.8073690090603298,2025-12-10 09:48:05.273475,2025-12-10 09:48:16.865528,0 days 00:00:11.592053,0.1243629217052456,95.60472733929919,COMPLETE
3,3,0.7108066596137154,2025-12-10 09:48:16.865712,2025-12-10 09:48:36.352350,0 days 00:00:19.486638,0.17831647804336287,33.142345288819854,COMPLETE
4,4,0.6534006462944878,2025-12-10 09:48:36.352549,2025-12-10 09:49:39.088061,0 days 00:01:02.735512,0.06608503063145726,8.676111057546635,COMPLETE
5,5,0.7004379557291666,2025-12-10 09:49:39.088299,2025-12-10 09:50:02.994312,0 days 00:00:23.906013,0.4815067403050856,29.071001189257533,COMPLETE
6,6,0.8073690090603298,2025-12-10 09:50:02.994509,2025-12-10 09:50:14.468821,0 days 00:00:11.474312,0.018529904464294977,122.49335635061237,COMPLETE
7,7,0.8073690090603298,2025-12-10 09:50:14.469003,2025-12-10 09:50:25.972826,0 days 00:00:11.503823,0.11356734251258915,107.72365834427895,COMPLETE
8,8,0.647098933919271,2025-12-10 09:50:25.973007,2025-12-10 09:51:49.284268,0 days 00:01:23.311261,0.38822491033478196,6.421574315023354,COMPLETE
9,9,0.8073690090603298,2025-12-10 09:51:49.284472,2025-12-10 09:52:00.787179,0 days 00:00:11.502707,0.33605341023244767,109.57822595988998,COMPLETE
10,10,0.8073690090603298,2025-12-10 09:52:00.787360,2025-12-10 09:52:12.223326,0 days 00:00:11.435966,0.2883445341650269,138.21225780653256,COMPLETE
11,11,0.6441193189832898,2025-12-10 09:52:12.223511,2025-12-10 09:53:37.209943,0 days 00:01:24.986432,0.22142638499904807,5.4207268486290765,COMPLETE
12,12,0.6555070753309463,2025-12-10 09:53:37.210195,2025-12-10 09:54:36.643990,0 days 00:00:59.433795,0.22567641681496933,9.67546110718514,COMPLETE
13,13,0.7959423834906684,2025-12-10 09:54:36.644198,2025-12-10 09:54:48.381830,0 days 00:00:11.737632,0.4148832243986591,72.09483928097627,COMPLETE
14,14,0.7039091003417969,2025-12-10 09:54:48.382016,2025-12-10 09:55:09.888253,0 days 00:00:21.506237,0.2674545533760499,30.44640127157797,COMPLETE
15,15,0.7550528205023873,2025-12-10 09:55:09.888444,2025-12-10 09:55:24.574781,0 days 00:00:14.686337,0.35725286613419305,46.539738201883395,COMPLETE
16,16,0.6551745747884113,2025-12-10 09:55:24.574967,2025-12-10 09:56:27.722579,0 days 00:01:03.147612,0.46811948432498096,9.502187576042427,COMPLETE
17,17,0.7714121880425348,2025-12-10 09:56:27.722779,2025-12-10 09:56:41.232239,0 days 00:00:13.509460,0.20026025047949936,49.20629695884604,COMPLETE
18,18,0.6950421101888021,2025-12-10 09:56:41.232429,2025-12-10 09:57:08.414307,0 days 00:00:27.181878,0.30555771446796703,22.720086640116435,COMPLETE
19,19,0.798726830376519,2025-12-10 09:57:08.414503,2025-12-10 09:57:20.042410,0 days 00:00:11.627907,0.42612142013970383,84.102109274635,COMPLETE
20,20,0.7977452195909288,2025-12-10 09:57:20.042596,2025-12-10 09:57:31.681243,0 days 00:00:11.638647,0.15130369783592248,64.76896675321517,COMPLETE
21,21,0.6509391391330295,2025-12-10 09:57:31.681428,2025-12-10 09:58:40.873868,0 days 00:01:09.192440,0.08004723550289129,7.601534461160327,COMPLETE
22,22,0.6432277303059896,2025-12-10 09:58:40.874071,2025-12-10 10:00:03.561584,0 days 00:01:22.687513,0.08620831700360523,5.15101211115034,COMPLETE
23,23,0.6797818339029948,2025-12-10 10:00:03.561786,2025-12-10 10:00:33.794676,0 days 00:00:30.232890,0.22733702696428593,20.585063185265174,COMPLETE
24,24,0.7223875956217448,2025-12-10 10:00:33.794909,2025-12-10 10:00:51.912155,0 days 00:00:18.117246,0.3621022585278678,38.668498561617184,COMPLETE
25,25,0.694609654405382,2025-12-10 10:00:51.912349,2025-12-10 10:01:19.038855,0 days 00:00:27.126506,0.1512218587635478,21.90925052163238,COMPLETE
26,26,0.6718485758463543,2025-12-10 10:01:19.039061,2025-12-10 10:01:54.483924,0 days 00:00:35.444863,0.25061492293745136,17.5019308806871,COMPLETE
27,27,0.7214628065321183,2025-12-10 10:01:54.484150,2025-12-10 10:02:14.847322,0 days 00:00:20.363172,0.30645804573902713,37.97197242727616,COMPLETE
28,28,0.6474647569444445,2025-12-10 10:02:14.847659,2025-12-10 10:03:39.677127,0 days 00:01:24.829468,0.09907532744882092,6.492058849495296,COMPLETE
29,29,0.7856670864529081,2025-12-10 10:03:39.677338,2025-12-10 10:03:54.920529,0 days 00:00:15.243191,0.43998803598694275,57.6054657407832,COMPLETE
30,30,0.8073690090603298,2025-12-10 10:03:54.920765,2025-12-10 10:04:09.077851,0 days 00:00:14.157086,0.3833744035907,146.64901072216617,COMPLETE
31,31,0.6434480041503907,2025-12-10 10:04:09.078138,2025-12-10 10:05:39.929203,0 days 00:01:30.851065,0.1083103481858862,5.270583507463354,COMPLETE
32,32,0.6718533128526477,2025-12-10 10:05:39.929415,2025-12-10 10:06:20.250084,0 days 00:00:40.320669,0.05407258348027247,16.35489549836096,COMPLETE
33,33,0.7037575358072917,2025-12-10 10:06:20.250300,2025-12-10 10:06:44.108717,0 days 00:00:23.858417,0.001342937401815153,26.99735309434815,COMPLETE
34,34,0.6681670206705731,2025-12-10 10:06:44.108938,2025-12-10 10:07:23.939625,0 days 00:00:39.830687,0.14245759961723012,15.092419629136188,COMPLETE
35,35,0.7499780537923177,2025-12-10 10:07:23.939942,2025-12-10 10:07:41.122670,0 days 00:00:17.182728,0.19529085337123012,42.51450654085258,COMPLETE
36,36,0.6476309326171875,2025-12-10 10:07:41.122872,2025-12-10 10:09:04.944724,0 days 00:01:23.821852,0.09233994625596365,6.565517730107336,COMPLETE
37,37,0.7101070705837674,2025-12-10 10:09:04.944947,2025-12-10 10:09:27.092227,0 days 00:00:22.147280,0.029314571151457747,31.785831450606192,COMPLETE
38,38,0.7880972608778213,2025-12-10 10:09:27.092427,2025-12-10 10:09:41.507466,0 days 00:00:14.415039,0.17759776330345947,53.925647816279955,COMPLETE
