number,value,datetime_start,datetime_complete,duration,params_alpha,params_threshold,state
0,0.6309386352539063,2025-12-10 11:43:14.058887,2025-12-10 11:43:22.216382,0 days 00:00:08.157495,0.07271394301078038,20.316833288249885,COMPLETE
1,0.7823595686848959,2025-12-10 11:43:22.216607,2025-12-10 11:43:28.032264,0 days 00:00:05.815657,3.886968049834109,114.94793949792589,COMPLETE
2,0.7216489143880208,2025-12-10 11:43:28.032460,2025-12-10 11:43:35.132421,0 days 00:00:07.099961,4.560157868670386,48.1439031649063,COMPLETE
3,0.6190982779947916,2025-12-10 11:43:35.132613,2025-12-10 11:43:44.308889,0 days 00:00:09.176276,4.2643175391525485,20.60142750984176,COMPLETE
4,0.7838149633789063,2025-12-10 11:43:44.309131,2025-12-10 11:43:49.729166,0 days 00:00:05.420035,1.4889126956236876,62.749485033032656,COMPLETE
5,0.7989327392578126,2025-12-10 11:43:49.729349,2025-12-10 11:43:55.276087,0 days 00:00:05.546738,3.106867715049464,109.2779999748312,COMPLETE
6,0.7470360457356771,2025-12-10 11:43:55.276272,2025-12-10 11:44:01.439369,0 days 00:00:06.163097,2.8585889941435023,65.99156981313823,COMPLETE
7,0.7424399259440104,2025-12-10 11:44:01.439553,2025-12-10 11:44:07.887289,0 days 00:00:06.447736,4.365385899012679,73.02684515512394,COMPLETE
8,0.7425850895182293,2025-12-10 11:44:07.887493,2025-12-10 11:44:14.434055,0 days 00:00:06.546562,4.473127977565983,76.43326113495016,COMPLETE
9,0.6075271687825522,2025-12-10 11:44:14.434241,2025-12-10 11:44:24.074689,0 days 00:00:09.640448,4.311243798229904,16.92041521293919,COMPLETE
10,0.7216116927083334,2025-12-10 11:44:24.074895,2025-12-10 11:44:30.787948,0 days 00:00:06.713053,1.887252479058788,40.19165472683734,COMPLETE
11,0.5837951774088543,2025-12-10 11:44:30.788141,2025-12-10 11:44:41.633316,0 days 00:00:10.845175,3.4774386293751824,10.41225118151899,COMPLETE
12,0.5851135685221354,2025-12-10 11:44:41.633521,2025-12-10 11:44:52.453726,0 days 00:00:10.820205,3.4680386935403975,10.721734411851502,COMPLETE
13,0.5852681127929688,2025-12-10 11:44:52.453933,2025-12-10 11:45:03.218862,0 days 00:00:10.764929,3.4071723264973093,10.756904360088505,COMPLETE
14,0.7205059212239584,2025-12-10 11:45:03.219085,2025-12-10 11:45:09.922950,0 days 00:00:06.703865,2.0966614260064866,40.746133209413095,COMPLETE
15,0.666910254720052,2025-12-10 11:45:09.923138,2025-12-10 11:45:18.030868,0 days 00:00:08.107730,3.6353217168881122,29.157190189841252,COMPLETE
16,0.6750527612304688,2025-12-10 11:45:18.031069,2025-12-10 11:45:25.781332,0 days 00:00:07.750263,2.4317203707006216,31.139480055425267,COMPLETE
17,0.8260064892578125,2025-12-10 11:45:25.781525,2025-12-10 11:45:30.604420,0 days 00:00:04.822895,1.0549357838007682,88.38432197221005,COMPLETE
18,0.7227531282552083,2025-12-10 11:45:30.604602,2025-12-10 11:45:37.561617,0 days 00:00:06.957015,4.950118697656028,49.97626274470936,COMPLETE
19,0.7834121443684896,2025-12-10 11:45:37.561805,2025-12-10 11:45:43.168687,0 days 00:00:05.606882,2.807640302590448,92.35803862202415,COMPLETE
20,0.668337771809896,2025-12-10 11:45:43.168869,2025-12-10 11:45:51.296483,0 days 00:00:08.127614,3.3852082756213235,29.624884053331975,COMPLETE
21,0.5842964257812501,2025-12-10 11:45:51.296679,2025-12-10 11:46:02.092682,0 days 00:00:10.796003,3.6536963427320073,10.563568424953003,COMPLETE
22,0.583456270345052,2025-12-10 11:46:02.092887,2025-12-10 11:46:12.953115,0 days 00:00:10.860228,3.9017376744622916,10.219025676086316,COMPLETE
23,0.6555114493815104,2025-12-10 11:46:12.953324,2025-12-10 11:46:21.708219,0 days 00:00:08.754895,3.8821211217384155,23.831425242901073,COMPLETE
24,0.5887057071940103,2025-12-10 11:46:21.708415,2025-12-10 11:46:32.275197,0 days 00:00:10.566782,4.971650344386594,11.775705463630462,COMPLETE
25,0.6832115861002606,2025-12-10 11:46:32.275404,2025-12-10 11:46:39.695993,0 days 00:00:07.420589,3.903026411821385,38.4557714121381,COMPLETE
26,0.6596422176106772,2025-12-10 11:46:39.696232,2025-12-10 11:46:48.251022,0 days 00:00:08.554790,3.03854106962538,25.119573389069025,COMPLETE
27,0.6817731722005209,2025-12-10 11:46:48.251357,2025-12-10 11:46:55.600995,0 days 00:00:07.349638,2.517803765542216,34.807958752103644,COMPLETE
28,0.7307638810221355,2025-12-10 11:46:55.601200,2025-12-10 11:47:02.320974,0 days 00:00:06.719774,3.9470464215531393,53.715116756100365,COMPLETE
29,0.6249398518880208,2025-12-10 11:47:02.321166,2025-12-10 11:47:10.737825,0 days 00:00:08.416659,0.1469177904591894,18.819798741595015,COMPLETE
30,0.6095155916341145,2025-12-10 11:47:10.738021,2025-12-10 11:47:20.245330,0 days 00:00:09.507309,3.0962827364783916,17.680552421263478,COMPLETE
31,0.5884338142903646,2025-12-10 11:47:20.245529,2025-12-10 11:47:30.825260,0 days 00:00:10.579731,3.5192004641519627,11.58599309561578,COMPLETE
32,0.6014812890625,2025-12-10 11:47:30.825464,2025-12-10 11:47:40.852874,0 days 00:00:10.027410,3.6463230736650187,14.795415085342693,COMPLETE
33,0.6561180175781252,2025-12-10 11:47:40.853110,2025-12-10 11:47:49.537442,0 days 00:00:08.684332,4.098881689683248,24.027336238698382,COMPLETE
34,0.6148365681966145,2025-12-10 11:47:49.537641,2025-12-10 11:47:58.914649,0 days 00:00:09.377008,3.375720310060475,18.769372306826725,COMPLETE
35,0.5834493725585937,2025-12-10 11:47:58.914848,2025-12-10 11:48:09.750663,0 days 00:00:10.835815,4.674340430078803,10.248658654537643,COMPLETE
